tahun,akun,jenis,anggaran,realisasi
2011,Pendapatan,Pendapatan Asli Daerah,16280133,17825524.6
2011,Pendapatan,Dana Perimbangan,8658411.1,9149709
2011,Pendapatan,Pendapatan Lain-Lain,1907148.3,1321665.2
2011,Belanja,Belanja Tidak Langsung,10244198.9,9627347.3
2011,Belanja,Belanja Langsung,20678162.8,16796334.8
2011,Pembiayaan,Penerimaan Pembiayaan,4911196,4926078.2
2011,Pembiayaan,Pengeluaran Pembiayaan,834527.3,329221.3
