tahun,nama_kabkota,nama_situ_rawa,luas_area_rencana,luas_area_realisasi,nama_sungai
2011,Kota Jakarta Selatan,Situ Babakan,32.00,30.00,Kali Krukut
2011,Kota Jakarta Selatan,Situ Mangga Belong,12.00,9.00,Kali Krukut
2011,Kota Jakarta Selatan,Waduk Ragunan,15.50,15.50,Kali Krukut
2011,Kota Jakarta Selatan,Waduk UI,30.00,30.00,-
2011,Kota Jakarta Selatan,Situ Rawa Lindung,1.50,-,-
2011,Kota Jakarta Selatan,Situ Ulujami,14.50,8.00,Kali Pesanggrahan
2011,Kota Jakarta Timur,Waduk Bea Cukai,0.50,0.50,-
2011,Kota Jakarta Timur,Waduk Rawa Badung,5.00,2.50,-
2011,Kota Jakarta Timur,Waduk Aneka Elok,2.50,1.50,-
2011,Kota Jakarta Timur,Waduk Rorotan,50.00,1.00,-
2011,Kota Jakarta Timur,Waduk Halim I,1.00,1.00,Kali Sunter
2011,Kota Jakarta Timur,Waduk Halim II,50.00,5.00,Kali Sunter
2011,Kota Jakarta Timur,Situ Kelapa Dua Wetan,10.00,4.50,Kali Cipinang
2011,Kota Jakarta Timur,Situ Rawa Dongkal,12.00,12.00,-
2011,Kota Jakarta Timur,Situ Tipar,5.00,5.00,-
2011,Kota Jakarta Timur,Situ Arman Pedongkelan,20.00,10.00,-
2011,Kota Jakarta Timur,Waduk Surilang,1.00,1.00,-
2011,Kota Jakarta Timur,Situ Baru Jambore,5.00,5.00,-
2011,Kota Jakarta Timur,Situ Munjul,5.70,0.80,Kali Sunter
2011,Kota Jakarta Timur,Waduk Cilangkap,11.00,9.00,Kali Sunter
2011,Kota Jakarta Timur,Waduk Sunter Hulu,11.00,5.00,Kali Sunter
2011,Kota Jakarta Timur,Waduk Pondok Rangon,10.00,10.00,Kali Sunter
2011,Kota Jakarta Timur,Waduk Cimanggis,5.00,5.00,Kali Cipinang
2011,Kota Jakarta Timur,Banjir Kanal Timur (Basah),212.09,212.09,-
2011,Kota Jakarta Timur,Banjir Kanal Timur (Kering),92.00,-,-
2011,Kota Jakarta Pusat,Situ Lembang,1.00,1.00,-
2011,Kota Jakarta Pusat,Situ Taman Ria Senayan,6.00,6.00,-
2011,Kota Jakarta Barat,Waduk Srengseng,0.60,0.60,-
2011,Kota Jakarta Utara,Rawa Kendal,27.50,-,-
