tahun,klasifikasi_industri,jenis_biaya,jumlah_biaya
2011,Alat Angkutan Lainnya,Sewa Gedung,39054095
2011,Furnitur,Sewa Gedung,1641752
2011,Pengolahan Lainnya,Sewa Gedung,5836464
2011,Jasa Reparasi dan Pemasangan Mesin dan Peralatan,Sewa Gedung,3817
2011,Makanan,Jasa Industri,468722
2011,Minuman,Jasa Industri,4447924
2011,Tekstil,Jasa Industri,6352285
2011,Pakaian Jadi,Jasa Industri,148587174
2011,Kulit dan Barang dari Kulit dan Alas Kaki,Jasa Industri,236862
2011,"Kayu, Barang dari Kayu dan Gabus",Jasa Industri,38322
2011,Kertas dan Barang dari Kertas,Jasa Industri,1504440
2011,Percetakan dan Reproduksi Media Rekaman,Jasa Industri,34233252
2011,Bahan Kimia dan Barang-barang dari Bahan Kimia,Jasa Industri,58656424
2011,"Farmasi, Obat Kimia dan Obat Tradisional",Jasa Industri,246445833
2011,"Karet, Barang dari Karet dan Plastik",Jasa Industri,11553951
2011,Barang Galian Bukan Logam,Jasa Industri,126246
2011,Logam Dasar,Jasa Industri,13418864
2011,Barang Logam Bukan Mesin dan Peralatannya,Jasa Industri,92431649
2011,"Komputer, Barang Elektronik dan Optik",Jasa Industri,127525
2011,Peralatan Listrik,Jasa Industri,17614493
2011,Mesin dan Perlengkapan ytdi,Jasa Industri,43101474
2011,"Kendaraan Bermotor, Trailer dan Semi Trailer",Jasa Industri,3459734
2011,Alat Angkutan Lainnya,Jasa Industri,178406
2011,Furnitur,Jasa Industri,4112
2011,Pengolahan Lainnya,Jasa Industri,57125935
2011,Jasa Reparasi dan Pemasangan Mesin dan Peralatan,Jasa Industri,333085
2011,Makanan,Lainnya,1166165577
2011,Minuman,Lainnya,23727450
2011,Tekstil,Lainnya,67079599
2011,Pakaian Jadi,Lainnya,429905384
2011,Kulit dan Barang dari Kulit dan Alas Kaki,Lainnya,21084707
2011,"Kayu, Barang dari Kayu dan Gabus",Lainnya,2786167
2011,Kertas dan Barang dari Kertas,Lainnya,15812213
2011,Percetakan dan Reproduksi Media Rekaman,Lainnya,473069456
2011,Bahan Kimia dan Barang-barang dari Bahan Kimia,Lainnya,387199271
2011,"Farmasi, Obat Kimia dan Obat Tradisional",Lainnya,704003715
2011,"Karet, Barang dari Karet dan Plastik",Lainnya,204107979
2011,Barang Galian Bukan Logam,Lainnya,8904749
2011,Logam Dasar,Lainnya,21848596
2011,Barang Logam Bukan Mesin dan Peralatannya,Lainnya,270776825
2011,"Komputer, Barang Elektronik dan Optik",Lainnya,88019550
2011,Peralatan Listrik,Lainnya,388535472
2011,Mesin dan Perlengkapan ytdi,Lainnya,13501139
2011,"Kendaraan Bermotor, Trailer dan Semi Trailer",Lainnya,2033105486
2011,Alat Angkutan Lainnya,Lainnya,3287869073
2011,Furnitur,Lainnya,13031625
2011,Pengolahan Lainnya,Lainnya,34299529
2011,Jasa Reparasi dan Pemasangan Mesin dan Peralatan,Lainnya,9578145
